0	1
2	走强 需要 时日 但是 价值 明摆着 呢 T 期权 注册 制 每个 题材 兑现 都 至少 一个 涨停
2	该股 具有 非常 强 的 代表性 正在 加速 上涨 涨停 后 继续 持股
1	新疆 板块 龙头 品种 还 可 继续 持有 一下
1	强势 震荡
0	连续 大涨 之后 出现 一定 的 下跌 属 正常 还有 反复 不过 目前 区域 绝不 是 低点
1	算是 热门 板块 之一 还 不错
1	是 去年 的 要 妖股 之一 如果 突破 日 均线 短线 空间 将 被 打卡
1	反弹 后 建议 先 出货
1	整体 来说 是 个 弱势 股 建议 换股 操作 因为 在 弱势 股中 考虑 支撑 和 压力 意义 不 大
2	不是 主流 也 不是 热点 但 目前 的 价格 也 跌 不到 哪里 去 较为 安全 如果 你 耐不住 寂寞 可以 换股 操作
2	慢 牛股 有 小 机会
2	波段 谷底 中阳 启动 短线 股价 激活 持股
2	慢 牛股 股性 不 活跃 目前 比较 安全
2	今天 逆势 反弹 继续 持股
0	近期 下跌 时 受到 大盘 波动 的 影响 该股 三季度 业绩 下滑 也 是 股价 下跌 的 一个 因素 建议 调换 业绩 增长幅度 大 的 股票
2	继续 持股
2	整体 趋势 向上 日 均线 附近 有 支撑
1	以后 你 可以 直接 解锁 查看 我 推荐 的 股票 今天 推荐 的 是 中海 海盛 隆基 机械 整体 走势 不错 还 可 持有
1	好像 你 昨天 问过 这 两个 观点 不变
1	是 慢 牛股 短线 还有 冲高 潜力
2	慢牛 波段 谷底 持有
2	开始 突破 平台 持股 温和 上升 元 附近 有 压力
2	该股 整体 走势 较为 强劲 趋势 依然 向上 建议 持股
2	整体 走势 较为 稳健 如果 环保 板块 集体 启动 该 股有 加速 潜力
1	该股 整体 走势 较慢
2	昨日 在 日 均线 企稳后 大涨 个 多点 继续 持股 暂时 不 考虑 卖
2	整体 趋势 向上 今日 随 大盘 回落 破日线 短线 止损
2	属于 近期 的 强势股 持有 为主
1	如果 快点 的话 半个 月 当然 这 只是 预判
1	趋势 保持 就 不 需要 天天 担心 淡 定点
1	短线 调整 不改 中线 趋势
1	你 可以 做 一下 合并
2	暂时 持有 还有 解套 机会 建议 不要 长线 持有
2	日 均线 附近 有 支撑 暂 持有
1	暂时 观望  
1	中线 仍 有 走高 潜力 是 慢牛 股性 不活
1	是 基因 测序 行业 的 龙头 继续 持股 是 去年 的 牛股 但 今年 不是 主流 虽然 K 线图 看似 不错
1	目前 不是 热点 反弹 减仓 是 目前 的 当红 个股 可 少量 跟进
1	目前 处在 波段 谷底 但是 该股 暂时 不是 热点 所以 走势 不会 太快 还 可以 继续 持股 也 同样 是 在 波段 谷底 但 同样 不会 有 特别 大 的 表现 建议 未来 换股
2	本周 逆势 走强 创出 年度 新高 中线 仍 有望 继续 向上 拓展 空间
1	中级 支撑位 在 元 附近
1	反弹 至年线 附近 出货
1	很 一般 后期 速率 较慢 稳步 走高 可 持股
2	目前 价格 比较 安全 但 不 活跃
0	大 波段 慢牛 个股 暂时 不加仓
0	日 均线 附近 有望 企稳 但 暂时 不要 补仓
2	该股 是 一个 中期 牛股 走势 完全 不随 大盘 未来 中速 向上 运行 的 概率 较大
1	这是 一只 中线 慢 牛股 日 均线 是 它 的 趋势 线下 轨 不破 这条线 就 持有
1	目前 已经 涨停板 无法 介入 等 本周 出现 开板 后 可逢 低 少量 介入
1	这 两只 股 目前 都 在 调整 中 如果 套牢 不 多 建议 换股
1	航空 股 小盘股 暂时 不是 主流 盛路 通信 观望
2	是 个 慢 牛股 持股 等待 反弹
1	属于 很强 的 票 追涨 需要 两点 控制 仓位 勇气
1	还有 解套 机会
1	有 突破 历史 三重 顶 的 迹象 逢 低 可先 少量 买入 如果 真的 突破 再 加仓
2	该股 近期走势 较为 强势 但 有 一个 问题 是 换手率 过大 月 日 当天 的 换手 超过 所以 目前 来看 该股 适合 超 短线
1	精工 钢构 的 波动 幅度 小 一些 如果 你 喜欢 快股 就 不选 精工 钢构
1	可 跟踪 但 不要 快 介入 如果 突破 前期 高点 时 可 介入
2	目前 有 止跌 迹象 中线 仍 有 上涨 空间
2	该股 目前 已 到达 布林线 中轨 附近 有 反弹 机会 该股 股性 很活 是 优势
2	依法治国 概念 热门 品种 持股
2	可 少量 加仓
1	压力 位 在 元 一线
1	本次 上涨 已翻 了 一倍 多 目前 暂时 进入 阶段性 调整 中 目前 说 中期 看到 哪里 还 为时尚早 是 一只 典型 的 大慢 牛 而 预计 年 业绩 增长 在 还有 一定 的 上涨 空间 先看 历史 高位 元 一线
0	基本面 业绩 暴跌 是 核心 原因
1	反弹 后 建议 出货
1	今日 逆势 涨停 实现 阳包 阴 强度 很大 继续 持股
2	整理 后 还有 创新 高 的 潜力
2	目前 处于 上升 趋势 的 轨道 上轨 附近 预计 将 横向 整理 一段时间
1	有 主力 只不过 主力 很肉
1	你 是 想 做 这种 票 的 第三 上升 浪 吗
2	该股 有点 慢 不过 目前 价格 较为 安全 耐心 持股 等待
1	整体 趋势 慢牛 向上 可 持股 股性 较为 活跃 中线 依然 有 机会 上行
2	中线 牛股 持股 为宜
1	是 一只 典型 的 妖股 如果 有 反弹 建议 出货
0	业绩 大跌 目前 仍然 处在 中期 震荡 中
1	该股 整体 属于 波段 谷底 不要 在意 一天 的 走势
1	走势 稳健 持股 预计 还有 震荡 反弹 建议 减仓
2	该股 依托 于 日 均线 持续 上行 如果 不破 日 均线 一路 持有
2	整体 属于 强势 持股
1	D 打印 龙头 是 金运 激光 亚太 属于 这个 板块 的 二流 股
1	亚太 科技 双象 股份 都 是 慢牛 精华 药业 进入 加速 上涨 期 还 可以 再 持有 扩大 盈利 太隆 药业 也 是 慢牛 可以 持有
1	关注 历史 新高 元 的 突破 力度 受益 镍 涨价 出现 大涨 回 落后 可 介入
1	你 是 月 日 的 涨停板 追入 的 吗
1	盘 在 太大 不 看好 关注 上升 趋势 线 上轨 的 突破 力度
2	该股 在 日 均线 附近 逆势 走强 可 持股
2	这个 位置 相对 比较 安全 持股
2	波段 上升 趋势 完整 持股
1	进入 波段 整理 周期
2	耐心 等待 大盘 反弹
1	不是 农业 龙头
1	跌停 你 也 敢 买 不是 我 的 风格 不好 说
2	横向 整理 有 突破 的 可能 持有
2	持有
2	走势 慢慢 向 好 但 股性 不 活跃
1	大盘 向下 空间 不会 特别 大 比较 随 大盘走势 预计 还 将 调整 但 你 不 需要 太紧张
1	你 买 的 不 高 但 这 是 个 慢牛
1	日 均线 上方 持股 即可 跌破 的话 止损
1	独立 牛股 完全 不看 大盘 脸色
2	元 附近 可逢 低 少量 建仓 短线 操作
0	本来 就 不是 今年 的 主流 当然 走 的 弱 了
0	趋势 不好 建议 换股
2	整体 趋势 较为 独立 还有 机会 再创新高
1	上升 趋势 保持 比较 完整 预计 还有 反复 暂 持有 观望
2	典型 的 慢牛 目前 处在 波段 谷底 中 可 少量 建仓
2	是 个 典型 的 慢牛 有 上升 空间 但是 很 慢
2	典型 的 慢牛 爬升 行情 如果 你 不 嫌慢 就 持有 否则 换股
1	慢牛 行情 不会 大涨 也 不会 大跌
2	今日 大涨 突破 历史 新高 持股
1	目前 处于 波段 谷底 可 跟踪
1	今天 第一次 跌破 日 均线 建议 反弹 后 出局
1	破位 下跌 观望
1	对于 此类 股 建议 观望 为主
1	问题 股 观望
1	还 在 调整 周期 中 运行
1	持有 等待 反弹
2	波段 谷底 可 持股
1	中线 可 跟踪 但是 速率 有些 慢
1	是 大慢 牛股 做股票 尽量 在 股性 活跃 的 股 里面 选择 股性 弱 的 股 尽量 回避
1	不是 主流 一般 关注 或者 换股 操作
1	这是 一只 妖股
1	这是 一只 典型 的 妖股 后市 很难 判断
2	还 可 继续 持有
2	不 一定 今天 突破 但 近期 突破 的 概率 大
2	可 持有 一下 预计 下周 有 机会
1	这个 问题 已经 问 了 很多遍 没 人 知道 下周 是否 能 到 大盘 和 个股 没有 直接 关系 大盘 即便 下跌 也 会 有 个股 上涨
2	整体 趋势 不错
1	创业板 大跌 个点 它 的 下跌 并 不算 多 已经 算 比较 抗跌 了
1	要 看 大盘 脸色
2	强势 明显 短线 还 可 持股
1	强势股 关注 是否 能 突破 暂 观望
1	该股 有点 慢 解套 后换 股 操作
1	主流 板块 热点 持股 也 是 主流 持股 其他 三个 都 不是 主流 所以 暂时 不会 动 荐 股 我会 在 每天 文章 的 后面 推荐 请 关注
1	该股 是 中线 股 但 目前 的 速率 有些 慢 建议 解套 后换 股 操作
1	太慢 比较 强
2	波段 慢 牛股 反弹 减仓
1	如果 你 包月 了 就 不用 花钱 提问 了 可以 在 说 说 你 直接 问 我 没有 费用 可以 介入 仓位 各 你 一会 在 说 说 里面 发 一下 我 就 知道 了
2	整体 非常 强势 持股
2	慢牛 爬升 有 突破 迹象 持股
1	该股 在 日 均线 附近 预计 有 一定 支撑 但 前期 的 上涨 已经 有 一倍 所以 目前 的 价格 如果 没有 特别 的 刺激 很难 继续 大幅 上行 建议 解套 后换 一些 比较 热门 的 个股 操作
2	可以 持有
1	什么 意思
2	次新股 是 今日 的 热点 板块 该股 还有 上涨 潜力
2	还有 向上 空间 但 已经 不是 很大 了
1	恩
1	如果 出现 反弹 建议 出货
2	趋势 不错 还 可 持续 持股
2	总体 趋势 以 看涨 为主 乐观 的话 可以 挑战 历史 新高 元
1	不是 目前 次新股 的 热门
2	不是 这次 次新股 主流 品种 但 也 还行
1	整体 趋势 保持 还有 反复
1	该 股要 解套 需要 等 地 次新股 板块 的 整体 反弹
1	该股 在 次新股 里 不算 强势
2	所在 的 次新股 是 热点 但 该 股 并 不是 热门 暂时 还 可 持有
1	强势 个股 持有 暂时 不是 主流 也 不是 次新股 中 的 强势 个股 如果 套 的 不 多 建议 换入 相对 低价 一些 的 个股
2	是 目前 的 热点 板块 高送 转 预期 炒作 趋势 依然 完整 持股 为宜
2	是 目前 的 热门 板块 继续 看高 一线
1	可 关注 但 追涨 需要 勇气
1	券商 中线 必须 持续 关注 但 追涨 是 有 风险 的 国信 对 券商 股 中线 是 利好
2	后期 还有 走高 机会 持股
2	波段 上升 趋势 还 可 持股
1	观望
1	大慢 牛 股性 不是 特别 活跃
1	我 说 的 妖股 是 你 的 招商 轮船 和 探路者 还 不错 可以 继续 持股 建议 你 采取 元 包月 的 方式 这样 我 推荐 的 所有 股 你 都 能 看到 还 可以 在线 回答 你 的 问题 比 你 单条 咨询 问题 划算
2	整体 趋势 向上 还 可 持有
1	日 均线 企稳 后 可 少量 参与
2	该 股属 波段 谷底 但 暂时 不是 热点 可 继续 持有 一下
2	今日 早盘 强势 涨停 继续 持股
1	非常 欣慰 的 看到 你 能 理解 我 文章 的 态度 乐观 这 对 投资 很 重要 希望 你 继续 保持 机器人 这个 概率 为 未来 中期 的 一个 非常 大 的 题材 东方 精工 属于 黑马 机器人 是 白马 波段 谷底 进入 比较 合适 同时 你 也 可以 加 我 微信 天檀 可 更加 及时 的 回复 你
1	东方 精工 机器人 三丰 智能 科大 智能 蓝英 装备
2	该股 所在 行业 非常 有 潜力 可 中线 持有
1	机器人 板块 是 今天 的 大 热门 还有 上攻 潜力 持股 不过 不是 该 板块 的 龙头
1	应该 还有 会 反复 暂时 持股 观望
2	慢 牛股 稳步 上行 完全 不 受 大盘 影响 只要 走势 独立 就 不要 轻言 顶部
2	短线 连续 下跌 是 受到 大盘 的 拖累 但 中期 趋势 却 依然 是 向上 的
2	超 强势 个股 持有
2	属于 超强 个股 午后 再次 大涨 持股
2	这是 一只 典型 的 大慢 牛 目前 在 波段 谷底 暂 持有 后期 建议 换股
1	速率 太慢 建议 换股 操作 如果 你 不 嫌慢 可以 持有
1	目前 是 波段 谷底 但 该 股 是 个 慢牛 解套 后 建议 换股 操作
1	波段 谷底 可入 但是 个慢 牛 所以 要 想 暴涨 有点 难
1	不错 等待 复牌 是 慢牛 目前 在 波段 谷底 总体 以 横向 整理 为主
1	都 是 目前 的 主流 板块 之一 持股 不是 主流 如果 你 套 的 不 多 建议 换股 昨日 涨停 目前 处于 波段 谷底 中线 仍 有 机会
2	短线 开始 走强 可看 高
